ICAO,Name,City,Elevation,Longitude,Latitude
VOVZ,Vishakhapatnam,Vishakhapatnam,14,83.22877502,17.72191238
VOWA,Warangal,Warangal,935,79.60443115,17.91371155
VOYK,Yelahanka AB,Yelahanka,3028,77.60429382,13.13586044
VQ10,Yongphulla,Yongphulla,8357,91.51499176,27.25615883
VQGP,Gelephu Airport,,930,90.4641571,26.88456535
VQPR,Paro,Paro,7336,89.42469788,27.40326691
VRMG,Gan,Gan Island,7,73.15558624,-0.6932441
VRMH,Hanimaadhoo,Hanimaadhoo Island,4,73.16918945,6.745718956
VRMK,Kadhdhoo,Kadhdhoo Island,4,73.52115631,1.860112667
VRMM,Male Intl,Male,5,73.52915955,4.191798687
VRNT,Thimarafushi,,6,73.15307617,2.210693359
VT01,Teal Farm,Huntington,1440,-72.93753052,44.28225708
VT06,Santa's,Putney,673,-72.47637939,43.00391006
VT09,Spencer,Addison,310,-73.28903198,44.1151619
VT11,Ass-Pirin Acres,Addison,130,-73.37137604,44.07206726
VT13,Holloway,Chester,1520,-72.71343994,43.30044174
VT14,Axinn,Weybridge,450,-73.18969727,44.04489517
VT15,Savage Island,Grand Isle,125,-73.24580383,44.70376587
VT17,Smith,Ludlow,1502,-72.6740799,43.3694191
VT23,Bostwick Farm,Shelburne,220,-73.25074768,44.36948013
VT29,Mad River Fly-In,Waitsfield,677,-72.79174805,44.23015213
VT31,Carriers Skypark,Washington,1600,-72.44404602,44.11172104
VT39,Taylor,Wolcott,1140,-72.47737885,44.60649872
VT43,Onyon,Townshend,427,-72.65572357,43.02038574
VT44,Perras Field,Morrisville,820,-72.58056641,44.52564621
VT45,Davis Pvt,Jericho,640,-72.97969055,44.51792908
VT46,Northern Lights,Alburg,130,-73.28646851,44.87195206
VT47,Miller's Pleasure Airfield,Vernon,285,-72.52851868,42.77953339
VT49,Angus Airways,Waitsfield,677,-72.79177856,44.23014069
VT52,Shaw Meadow,Milton,230,-73.18603516,44.64267349
VT53,Staton,Panton,140,-73.37897491,44.11724091
VT55,Brandon,Randolph,710,-72.5835495,43.90077591
VT59,Ardell Flying Field,Manchester,1919,-72.90969849,43.27922821
VT60,Hulett Landing Strip,West Pawlett,720,-73.24226379,43.32978058
VT62,Catamount Airfield,Cabot,1350,-72.35089111,44.39200592
VT63,Douglas Field,North Troy,650,-72.37952423,44.99612045
VT8,Shelburne,Shelburne,303,-73.22641754,44.3600769
VT85,Nam Phong,Nam Phong,763,102.9677887,16.65251923
VTA,Victoria Airport,Las Vegas,1178,-87.39402008,14.93403721
VTBC,Tha Mai Airport,Tha Mai,78,102.0259857,12.63226128
VTBD,Bangkok Intl,Bangkok,6,100.6067352,13.9125452
VTBH,Sa Pran Nak Aero,Lop Buri,86,100.6436768,14.95108128
VTBI,Prachin Buri,Prachin Buri,56,101.3798294,14.07784748
VTBK,Kamphaeng Saen,Nakhon Pathom,32,99.91723633,14.10200882
VTBL,Khok Kathiam,Lop Buri,118,100.6628265,14.87404251
VTBN,Prachuap Khiri Khan Airport,Pran Buri,49,99.86965179,12.41753197
VTBO,Trat,Trat,84,102.3199158,12.27527714
VTBP,Prachuap Khiri Khan,Prachuap Khiri Khan,17,99.80174255,11.78782845
